iter	Passed	Remaining
953	9737	469
954	9746	459
955	9756	449
956	9766	438
957	9775	428
958	9785	418
959	9796	408
960	9806	397
961	9815	387
962	9826	377
963	9835	367
964	9846	357
965	9855	346
966	9865	336
967	9876	326
968	9885	316
969	9896	306
970	9905	295
971	9915	285
972	9925	275
973	9935	265
974	9945	255
975	9954	244
976	9964	234
977	9974	224
978	9983	214
979	9994	203
980	10004	193
981	10014	183
982	10024	173
983	10033	163
984	10043	152
985	10052	142
986	10062	132
987	10071	122
988	10082	112
989	10092	101
990	10101	91
991	10111	81
992	10122	71
993	10132	61
994	10142	50
995	10151	40
996	10160	30
997	10171	20
998	10182	10
999	10192	0
